순위,선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK
1,미란다,두산,2.45,23,12,5,0,0,0.706,143 1/3,108,11,50,1,185,43,39,1.1,1,1,17,0,578,2396,0.207,19,0,2,2,0,7,1
2,백정현,삼성,2.6,24,13,4,0,0,0.765,138 2/3,126,13,49,2,94,48,40,1.26,0,0,13,0,573,2223,0.245,22,1,5,3,1,5,0
3,로켓,두산,2.61,20,9,8,0,0,0.529,120 2/3,124,5,40,11,110,38,35,1.36,1,0,14,0,521,1945,0.269,17,2,5,4,1,1,1
4,원태인,삼성,2.75,22,13,5,0,0,0.722,134,121,9,41,3,112,45,41,1.21,0,0,14,0,547,2123,0.244,27,0,5,2,0,3,1
5,요키시,키움,2.84,25,13,7,0,0,0.65,145 2/3,135,11,38,4,107,57,46,1.19,0,0,13,0,593,2289,0.249,17,0,7,2,2,7,0
6,루친스키,NC,2.88,24,12,8,0,0,0.6,146 2/3,125,11,44,6,140,58,47,1.15,0,0,16,0,609,2403,0.224,19,0,1,1,0,4,2
7,고영표,KT,2.93,21,11,4,0,0,0.733,138 1/3,109,6,24,13,98,47,45,0.96,1,1,18,0,543,1974,0.218,15,2,2,4,1,1,0
8,최원준,두산,3.06,22,10,2,0,0,0.833,123 1/3,119,14,31,8,88,47,42,1.22,0,0,13,0,521,2094,0.25,22,3,4,2,1,0,0
9,데스파이네,KT,3.13,27,10,8,0,0,0.556,149 1/3,132,8,65,7,147,62,52,1.32,0,0,18,0,649,2727,0.233,23,2,8,3,0,13,0
10,뷰캐넌,삼성,3.14,24,12,5,0,0,0.706,140 2/3,139,10,49,1,129,57,49,1.34,1,1,15,0,605,2380,0.253,21,2,2,3,2,5,0
11,배제성,KT,3.14,21,9,6,0,0,0.6,117 2/3,95,5,67,1,111,47,41,1.38,0,0,10,0,503,1997,0.223,23,1,3,6,1,8,0
12,켈리,LG,3.16,23,10,6,0,0,0.625,136 2/3,125,11,44,8,110,50,48,1.24,0,0,13,0,570,2218,0.245,18,0,2,5,2,5,0
13,폰트,SSG,3.56,22,7,4,0,0,0.636,129,98,11,38,5,144,54,51,1.05,0,0,12,0,528,2236,0.207,19,1,8,4,1,2,1
14,카펜터,한화,3.98,25,5,11,0,0,0.313,135 2/3,116,13,60,15,149,72,60,1.3,0,0,9,0,592,2395,0.229,17,2,6,5,0,5,1
15,박세웅,롯데,3.99,22,8,7,0,0,0.533,128 2/3,112,18,39,8,102,59,57,1.17,1,1,14,0,538,2031,0.23,18,0,3,1,0,16,0
16,김민우,한화,4.17,23,11,8,0,0,0.579,123,104,15,63,6,103,59,57,1.36,0,0,9,0,531,2161,0.229,21,1,3,4,1,3,0
17,스트레일리,롯데,4.5,25,7,11,0,0,0.389,132,137,10,58,5,126,76,66,1.48,0,0,11,0,581,2395,0.271,23,1,5,7,0,4,1
18,최원태,키움,4.69,23,8,8,0,0,0.5,121,142,10,48,6,78,74,63,1.57,0,0,10,0,544,2039,0.295,18,3,5,4,2,3,0
19,임기영,KIA,4.8,22,4,7,0,0,0.364,120,121,12,36,9,100,66,64,1.31,0,0,10,0,518,1977,0.262,23,1,6,5,0,6,2
20,프랑코,롯데,5.09,24,9,6,0,0,0.6,123 2/3,118,13,61,19,93,77,70,1.45,0,0,9,0,556,2243,0.253,26,1,2,7,0,5,0
