순위,선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK
1,요키시,키움,2.14,27,12,7,0,0,0.632,159 2/3,144,6,25,6,115,53,38,1.06,0,0,20,0,640,2417,0.237,26,3,2,0,0,3,1
2,스트레일리,롯데,2.5,31,15,4,0,0,0.789,194 2/3,148,10,51,7,205,61,54,1.02,0,0,21,0,777,3157,0.209,27,2,6,4,0,4,0
3,브룩스,KIA,2.5,23,11,4,0,0,0.733,151 1/3,131,4,24,3,130,43,42,1.02,1,1,16,0,586,2218,0.238,18,0,5,3,0,3,1
4,알칸타라,두산,2.54,31,20,2,0,0,0.909,198 2/3,174,12,30,9,182,58,56,1.03,1,0,27,0,795,3144,0.232,38,3,2,4,0,3,1
5,루친스키,NC,3.05,30,19,5,0,0,0.792,183,173,14,57,11,167,67,62,1.26,0,0,20,0,770,3001,0.25,12,3,10,1,0,11,0
6,켈리,LG,3.32,28,15,7,0,0,0.682,173 1/3,160,16,40,11,134,67,64,1.15,1,1,20,0,705,2621,0.247,29,1,3,4,0,4,0
7,뷰캐넌,삼성,3.45,27,15,7,0,0,0.682,174 2/3,172,16,50,7,121,71,67,1.27,1,0,18,0,728,2819,0.261,19,2,8,4,0,2,0
8,최채흥,삼성,3.58,26,11,6,0,0,0.647,146,131,12,51,7,123,67,58,1.25,1,1,12,0,617,2516,0.237,27,1,2,4,0,3,3
9,문승원,SK,3.65,25,6,8,0,0,0.429,145 2/3,136,13,45,6,117,64,59,1.24,1,0,13,0,610,2338,0.248,29,0,5,5,0,2,0
10,임찬규,LG,4.08,27,10,9,0,0,0.526,147 2/3,143,14,65,5,138,76,67,1.41,0,0,10,0,641,2601,0.253,29,2,2,4,0,4,0
11,쿠에바스,KT,4.1,27,10,8,0,0,0.556,158,152,16,46,9,110,80,72,1.25,0,0,14,0,668,2518,0.253,26,1,5,8,0,4,0
12,데스파이네,KT,4.33,35,15,8,0,0,0.652,207 2/3,233,18,68,8,152,105,100,1.45,0,0,18,0,906,3525,0.286,36,1,6,8,1,18,0
13,가뇽,KIA,4.34,28,11,8,0,0,0.579,159 2/3,162,7,64,9,141,86,77,1.42,0,0,13,0,702,2809,0.264,33,8,6,10,0,13,0
14,윌슨,LG,4.42,25,10,8,0,0,0.556,144 2/3,161,13,39,8,109,81,71,1.38,0,0,14,0,628,2330,0.282,23,2,5,6,0,3,1
15,라이트,NC,4.68,29,11,9,0,0,0.55,157 2/3,164,12,63,10,125,87,82,1.44,0,0,13,0,696,2789,0.266,27,2,5,1,0,5,2
16,양현종,KIA,4.7,31,11,10,0,0,0.524,172 1/3,180,13,64,5,149,99,90,1.42,0,0,15,0,746,2950,0.271,40,4,9,3,0,7,0
17,박세웅,롯데,4.7,28,8,10,0,0,0.444,147 1/3,177,20,47,8,108,85,77,1.52,0,0,8,0,658,2528,0.298,27,2,3,7,0,13,0
18,박종훈,SK,4.81,29,13,11,0,0,0.542,157 1/3,146,14,78,22,134,90,84,1.42,0,0,10,0,691,2861,0.249,21,3,2,2,1,5,0
19,서폴드,한화,4.91,28,10,13,0,0,0.435,165,203,19,42,13,97,107,90,1.48,1,1,13,0,734,2742,0.304,30,3,5,6,0,10,0
20,핀토,SK,6.17,30,6,15,0,0,0.286,162,198,19,90,11,112,121,111,1.78,0,0,12,0,766,2949,0.301,35,1,2,5,3,11,2
