순위,선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK
1,바워스,현대,3.01,24,13,4,1,1,0.765,143 2/3,145,12,46,9,85,58,48,1.33,0,0,16,0,601,2353,0.273,20,1,11,3,0,5,0
2,이승호,LG,3.19,31,11,11,0,0,0.5,191 2/3,151,17,103,9,157,76,68,1.33,1,1,20,0,817,3361,0.223,21,3,22,7,3,6,0
3,정민태,현대,3.31,29,17,2,0,0,0.895,177,179,17,42,5,122,76,65,1.25,1,0,16,0,741,2769,0.263,29,1,10,4,1,3,0
4,김진우,KIA,3.45,24,11,5,0,0,0.688,169 1/3,150,9,63,12,146,68,65,1.26,4,2,17,0,707,2700,0.244,20,2,14,3,1,10,0
5,이상목,한화,3.54,33,15,7,1,1,0.682,185 1/3,203,18,29,4,118,78,73,1.25,1,1,17,0,774,2826,0.282,43,3,15,5,2,2,1
6,임창용,삼성,3.55,28,13,3,1,0,0.813,147,141,15,44,15,85,63,58,1.26,1,1,14,0,618,2235,0.256,31,3,7,1,1,1,0
7,이리키,두산,3.74,39,7,11,5,0,0.389,159,155,17,53,9,87,68,66,1.31,5,1,12,0,676,2315,0.262,33,3,17,5,3,2,0
8,키퍼,두산,3.79,29,8,7,0,0,0.533,168 2/3,160,15,46,17,77,78,71,1.22,3,1,14,0,711,2591,0.254,26,2,16,1,2,2,0
9,리오스,KIA,3.82,30,10,13,0,0,0.435,188 2/3,186,19,62,28,121,93,80,1.31,2,0,19,0,820,3086,0.263,42,1,15,8,1,5,0
10,정민철,한화,4.0,26,11,10,0,0,0.524,139 2/3,132,18,51,4,73,65,62,1.31,0,0,10,0,598,2245,0.249,19,2,5,7,1,6,1
11,김진웅,삼성,4.05,32,9,11,1,0,0.45,153 1/3,151,19,70,5,99,75,69,1.44,0,0,11,0,672,2640,0.264,23,1,18,5,2,6,1
12,스미스,SK,4.2,30,7,10,0,0,0.412,152,157,9,61,9,82,84,71,1.43,1,1,11,0,662,2546,0.275,26,1,15,6,1,4,1
13,배영수,삼성,4.51,30,13,5,0,0,0.722,163 2/3,174,11,77,7,99,85,82,1.53,1,0,12,0,722,2803,0.281,38,4,10,8,0,12,1
14,김수경,현대,4.63,29,10,9,0,0,0.526,167,184,14,70,4,121,96,86,1.52,1,1,13,0,738,2991,0.286,34,2,14,6,0,12,0
