CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK
0,0,23,0,790,2988,0.255,28,0,21,10,1,6,0
2,1,17,0,646,2543,0.221,21,3,9,8,2,2,0
1,0,19,0,780,3150,0.247,28,2,9,2,2,16,1
2,1,22,0,837,3214,0.215,23,3,9,7,1,8,0
1,1,17,0,702,2749,0.259,40,2,9,6,0,4,0
1,1,22,0,774,3022,0.244,21,2,15,6,1,2,0
0,0,7,1,612,2410,0.262,28,3,10,4,1,2,2
0,0,24,0,829,3124,0.258,27,2,22,3,0,3,0
3,0,16,0,744,2714,0.245,24,1,8,5,0,5,0
0,0,16,0,705,2795,0.287,30,3,11,5,0,11,1
0,0,13,0,720,2917,0.267,32,3,9,3,0,4,0
0,0,18,0,765,3000,0.254,33,4,10,2,0,8,1
1,0,15,1,642,2445,0.257,28,1,11,8,0,3,1
1,1,9,0,635,2324,0.279,25,6,6,5,2,2,0
0,0,15,0,612,2414,0.238,21,3,16,4,2,3,0
0,0,7,0,640,2558,0.259,20,5,9,3,1,8,1
0,0,4,0,568,2324,0.238,21,2,9,6,0,8,0
1,0,14,0,658,2484,0.277,17,3,9,3,2,6,1
0,0,15,0,769,2997,0.291,29,3,11,5,1,2,0
0,0,9,1,580,2273,0.259,31,3,7,7,0,9,1
0,0,13,0,671,2507,0.32,33,5,12,3,1,5,0
2,1,15,0,751,2939,0.249,36,0,17,6,0,11,0
0,0,7,0,635,2363,0.259,24,4,8,7,2,12,0
0,0,10,0,748,2941,0.298,28,9,8,5,3,10,1
2,0,12,0,758,2905,0.287,37,5,16,6,0,11,0
