CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK
0,0,16,0,570,2228,0.23,22,2,11,2,1,8,0
8,1,21,0,905,3411,0.242,36,3,14,2,2,2,1
0,0,16,0,841,3103,0.245,38,3,10,5,4,2,0
3,0,9,0,662,2365,0.237,18,0,2,2,2,5,0
1,0,13,0,582,2289,0.229,31,2,9,3,4,2,0
2,2,8,0,578,2398,0.231,19,2,4,1,3,4,1
2,0,20,0,823,3144,0.233,21,1,10,7,2,12,0
0,0,17,0,782,2904,0.25,30,4,9,5,2,5,1
2,1,13,0,586,2109,0.266,28,4,7,4,1,5,0
0,0,8,0,580,2225,0.27,36,3,12,7,1,2,0
1,0,18,0,867,3158,0.261,28,3,17,0,1,5,0
0,0,2,0,567,2025,0.258,18,3,15,2,5,6,0
2,2,15,0,678,2680,0.26,17,5,5,7,1,10,0
4,1,13,0,818,2987,0.277,23,3,11,4,1,14,1
3,2,15,0,778,2920,0.268,32,1,9,4,1,11,0
2,0,14,0,735,3092,0.267,27,3,12,4,2,3,2
0,0,13,0,690,2491,0.286,31,3,8,2,1,2,0
0,0,9,0,597,2323,0.249,26,3,6,3,2,8,0
1,0,8,0,578,2200,0.281,20,2,5,3,1,2,0
0,0,11,0,647,2389,0.267,29,2,3,5,2,4,1
0,0,12,0,657,2670,0.267,28,2,12,5,1,8,0
0,0,12,0,599,2376,0.27,26,5,9,8,1,4,1
