CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK
1,0,16,0,568,2199,0.239,11,2,4,0,1,8,0
0,0,2,1,554,2198,0.232,13,1,9,4,7,11,1
4,0,18,0,802,2930,0.271,40,3,7,7,0,3,0
1,0,12,0,637,2468,0.269,23,3,4,3,0,4,0
0,0,13,0,627,2491,0.238,28,3,6,3,0,3,0
0,0,13,0,667,2476,0.246,26,5,7,1,2,0,0
0,0,19,0,719,2789,0.254,22,0,14,3,0,7,0
4,2,17,0,793,3064,0.254,28,0,12,3,3,4,1
2,2,16,0,784,2664,0.264,38,3,6,2,3,11,0
1,1,12,0,727,2693,0.285,32,0,17,7,5,4,0
0,0,16,0,716,2815,0.253,27,1,7,2,1,1,1
2,0,15,0,690,2654,0.257,29,4,6,6,0,3,0
1,1,14,0,700,2760,0.238,25,4,16,5,1,19,0
3,3,13,0,735,2732,0.272,33,2,10,4,4,10,0
0,0,8,0,649,2465,0.301,31,4,7,3,0,10,0
0,0,7,0,609,2381,0.27,24,1,5,3,1,3,0
