CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK
1,1,17,0,578,2396,0.207,19,0,2,2,0,7,1
0,0,13,0,573,2223,0.245,22,1,5,3,1,5,0
1,0,14,0,521,1945,0.269,17,2,5,4,1,1,1
0,0,14,0,547,2123,0.244,27,0,5,2,0,3,1
0,0,13,0,593,2289,0.249,17,0,7,2,2,7,0
0,0,16,0,609,2403,0.224,19,0,1,1,0,4,2
1,1,18,0,543,1974,0.218,15,2,2,4,1,1,0
0,0,13,0,521,2094,0.25,22,3,4,2,1,0,0
0,0,18,0,649,2727,0.233,23,2,8,3,0,13,0
1,1,15,0,605,2380,0.253,21,2,2,3,2,5,0
0,0,10,0,503,1997,0.223,23,1,3,6,1,8,0
0,0,13,0,570,2218,0.245,18,0,2,5,2,5,0
0,0,12,0,528,2236,0.207,19,1,8,4,1,2,1
0,0,9,0,592,2395,0.229,17,2,6,5,0,5,1
1,1,14,0,538,2031,0.23,18,0,3,1,0,16,0
0,0,9,0,531,2161,0.229,21,1,3,4,1,3,0
0,0,11,0,581,2395,0.271,23,1,5,7,0,4,1
0,0,10,0,544,2039,0.295,18,3,5,4,2,3,0
0,0,10,0,518,1977,0.262,23,1,6,5,0,6,2
0,0,9,0,556,2243,0.253,26,1,2,7,0,5,0
