CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK
2,2,22,0,731,2699,0.241,32,1,3,9,0,1,0
0,0,22,0,773,2982,0.226,22,3,1,7,0,7,0
0,0,24,0,786,2908,0.27,17,0,6,6,1,8,0
0,0,24,0,747,2758,0.243,33,3,5,11,0,12,0
0,0,17,0,671,2538,0.244,18,2,2,7,0,11,2
1,0,22,0,763,2746,0.245,27,2,8,2,1,6,0
0,0,15,0,669,2521,0.245,32,2,4,4,0,7,1
2,0,17,0,731,2700,0.247,20,1,5,5,0,7,0
1,1,19,0,746,2762,0.241,33,5,4,3,0,6,0
2,0,17,0,692,2584,0.27,37,2,6,7,3,2,0
0,0,18,0,666,2447,0.268,28,2,5,4,0,5,0
0,0,15,0,749,2843,0.256,33,2,11,4,0,8,1
0,0,20,0,810,3142,0.259,28,4,5,5,1,8,0
0,0,18,0,760,2896,0.227,21,6,7,5,0,4,0
1,0,17,0,692,2646,0.242,28,5,3,7,1,4,2
0,0,12,0,586,2185,0.239,13,5,2,4,1,0,0
0,0,10,0,643,2528,0.28,29,0,6,5,0,1,0
0,0,19,0,791,2933,0.269,32,4,7,1,1,10,1
1,0,18,0,724,2574,0.278,39,3,8,1,0,2,2
0,0,14,0,651,2350,0.285,28,2,5,6,3,3,0
0,0,13,0,730,2796,0.276,30,1,3,8,0,13,0
1,1,12,0,677,2543,0.26,29,4,2,6,0,4,0
0,0,7,0,649,2569,0.278,23,3,4,9,1,4,1
0,0,14,0,726,2764,0.295,41,1,7,7,1,4,0
1,1,10,0,643,2340,0.296,34,3,9,9,0,3,0
0,0,10,0,674,2329,0.292,26,4,5,1,0,4,2
1,0,11,0,714,2692,0.284,34,3,2,6,0,14,0
