CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK
1,0,16,0,622,2598,0.222,30,1,7,2,0,4,0
1,0,15,0,749,3009,0.274,36,4,12,3,1,9,1
0,0,18,0,788,3266,0.27,33,5,10,6,0,6,2
1,1,16,0,718,2747,0.291,31,0,16,5,0,5,2
1,0,16,0,760,3007,0.269,20,1,7,7,0,10,0
2,1,16,0,707,2691,0.274,32,5,9,5,1,8,0
1,0,16,0,749,2791,0.258,22,2,10,7,0,5,0
0,0,13,0,653,2472,0.284,18,5,4,4,1,2,0
0,0,11,0,562,2120,0.295,33,2,6,9,0,6,0
0,0,16,0,781,3134,0.264,48,1,12,4,1,1,0
1,0,13,0,668,2595,0.264,28,2,12,4,0,2,0
0,0,17,0,732,2878,0.253,30,6,7,3,1,5,0
1,1,13,0,728,2807,0.295,30,4,12,6,0,4,0
1,0,14,0,779,2992,0.286,41,6,11,3,0,5,0
0,0,13,0,674,2622,0.273,27,6,13,4,1,9,0
0,0,13,0,562,2118,0.288,36,0,10,1,1,2,2
0,0,10,0,661,2641,0.251,30,6,6,3,3,9,0
0,0,14,0,677,2646,0.298,31,6,7,7,2,10,1
1,0,10,0,597,2319,0.314,39,7,4,4,1,4,1
1,1,10,0,673,2579,0.326,35,7,7,8,0,9,0
0,0,10,0,701,2599,0.322,22,6,20,6,0,3,0
1,1,3,0,588,2289,0.311,25,4,5,5,1,8,0
1,0,7,1,585,2376,0.291,32,2,4,5,0,2,0
