CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK
2,1,27,0,832,3013,0.24,35,1,16,6,1,2,0
2,2,15,2,608,2296,0.204,17,0,8,4,1,9,0
2,1,18,0,726,2794,0.239,23,0,12,4,0,7,0
2,2,16,0,663,2465,0.242,23,1,13,2,5,0,0
1,0,22,0,734,2843,0.232,18,1,22,2,6,3,1
2,1,12,0,558,2137,0.228,20,0,10,5,0,5,1
3,1,17,0,679,2610,0.259,36,4,12,4,1,7,0
3,2,15,0,619,2377,0.215,26,7,16,3,0,4,2
3,0,20,0,785,3027,0.226,25,3,15,3,0,3,0
2,0,15,0,658,2390,0.264,28,3,5,9,1,5,0
0,0,16,0,716,2798,0.261,26,0,17,1,1,11,0
0,0,15,0,687,2723,0.265,19,0,23,3,0,5,0
0,0,16,0,693,2570,0.262,28,3,9,3,1,5,0
0,0,18,0,750,2677,0.268,20,10,19,4,0,9,1
4,1,17,0,614,2279,0.252,19,3,17,6,1,3,1
0,0,14,0,649,2511,0.242,19,4,5,5,1,2,0
1,0,14,0,656,2554,0.248,21,1,18,5,3,13,1
0,0,14,0,745,2940,0.265,30,4,10,5,2,5,1
0,0,12,0,584,2246,0.266,22,0,7,6,1,8,4
1,0,12,0,612,2310,0.254,25,3,13,6,1,15,0
1,0,12,0,656,2618,0.27,16,0,6,5,0,16,0
1,0,14,0,691,2589,0.292,31,5,16,3,1,4,0
