순위,선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP
1,손민한,롯데,2.46,28,18,7,1,0,0.72,168 1/3,149,9,38,2,105,54,46,1.11
2,배영수,삼성,2.86,31,11,11,2,1,0.5,173,148,10,48,11,147,61,55,1.13
3,랜들,두산,3.25,29,12,7,0,0,0.632,149 2/3,163,18,47,15,111,59,54,1.4
4,황두성,현대,3.29,60,11,9,1,7,0.55,128 2/3,106,15,41,6,137,53,47,1.14
5,신승현,SK,3.38,30,12,9,0,0,0.571,154 2/3,146,12,45,12,91,70,58,1.23
6,김원형,SK,3.41,30,14,8,0,0,0.636,171 2/3,172,17,30,15,94,73,65,1.18
7,문동환,한화,3.47,26,10,9,0,0,0.526,173 2/3,174,12,57,3,103,74,67,1.33
8,리오스,두산,3.51,32,15,12,0,0,0.556,205 1/3,203,20,57,17,147,88,80,1.27
9,송진우,한화,3.81,23,11,7,0,0,0.611,127 2/3,126,13,42,7,88,61,54,1.32
10,김진우,KIA,3.91,31,6,10,1,0,0.375,145,126,10,61,12,123,71,63,1.29
11,캘러웨이,현대,3.97,32,16,9,0,0,0.64,197 1/3,206,17,54,12,103,99,87,1.32
12,최원호,LG,4.07,27,13,6,0,0,0.684,163 2/3,153,17,60,15,106,79,74,1.3
13,김해님,한화,4.28,32,6,8,1,2,0.429,128 1/3,152,12,30,10,61,66,61,1.42
14,바르가스,삼성,5.06,26,10,8,0,0,0.556,128,120,12,63,7,66,78,72,1.43
15,손승락,현대,5.43,26,5,10,0,0,0.333,134 1/3,154,18,48,10,80,81,81,1.5
