CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK
6,4,26,0,947,3566,0.223,26,3,10,6,2,5,0
0,0,15,0,610,2321,0.255,19,1,14,6,4,3,1
1,1,15,0,638,2313,0.268,29,0,11,8,1,3,1
6,1,22,0,867,3349,0.251,39,1,17,1,4,6,0
0,0,17,0,684,2664,0.235,21,2,10,5,4,3,0
0,0,19,0,659,2583,0.235,32,4,9,7,0,7,1
1,0,17,0,800,3176,0.246,20,1,15,7,0,2,0
0,0,10,0,681,2525,0.257,22,3,14,6,1,2,1
0,0,19,0,797,2831,0.263,27,4,18,3,4,4,0
0,0,13,0,719,2806,0.241,30,2,7,2,0,4,0
0,0,13,0,651,2521,0.28,15,0,11,4,0,3,0
2,1,14,0,703,2623,0.266,33,2,23,1,1,2,0
0,0,13,0,750,2898,0.253,31,5,11,3,1,4,0
0,0,14,0,543,1971,0.269,33,0,15,4,6,4,0
0,0,9,1,582,2108,0.287,30,2,17,4,0,2,0
0,0,14,0,714,2960,0.246,25,0,11,8,4,11,0
0,0,5,0,541,2061,0.277,25,5,11,7,3,4,0
0,0,6,0,590,2437,0.233,16,4,12,5,1,6,3
0,0,15,0,707,2708,0.281,29,1,13,8,7,10,0
0,0,9,0,625,2273,0.27,30,2,19,3,3,4,0
