CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK
1,1,19,0,756,3041,0.232,27,2,19,6,0,6,0
1,0,25,0,833,3075,0.232,34,0,14,7,1,6,0
1,0,18,0,688,2617,0.251,26,3,10,7,0,6,0
1,0,13,0,621,2256,0.282,26,5,10,4,0,2,0
2,1,23,0,861,3329,0.25,32,3,10,3,0,12,0
0,0,16,0,825,3278,0.257,36,3,13,5,1,16,0
1,1,16,0,754,2896,0.257,33,0,11,2,2,10,0
3,1,17,0,809,3042,0.264,34,4,8,6,0,1,0
1,0,19,0,768,2909,0.267,27,2,9,6,2,13,2
1,1,17,0,786,2965,0.269,33,5,14,6,0,4,1
2,1,19,0,809,3138,0.266,39,7,15,6,0,6,1
1,0,17,0,748,2942,0.281,35,2,13,5,1,2,0
1,0,17,0,775,2878,0.27,28,1,15,4,1,9,2
3,0,15,0,806,3142,0.282,33,0,14,6,0,5,0
0,0,18,0,774,2900,0.294,34,7,11,3,1,7,3
1,0,15,0,695,2807,0.262,26,1,11,3,4,11,4
0,0,17,0,743,3069,0.245,36,1,7,4,1,9,1
0,0,12,1,785,3261,0.27,21,1,8,6,4,11,1
0,0,12,0,756,2842,0.288,30,6,13,5,0,4,0
0,0,14,0,705,2705,0.297,36,0,11,4,0,3,1
