순위,선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP
1,요키시,키움,2.14,27,12,7,0,0,0.632,159 2/3,144,6,25,6,115,53,38,1.06
2,스트레일리,롯데,2.5,31,15,4,0,0,0.789,194 2/3,148,10,51,7,205,61,54,1.02
3,브룩스,KIA,2.5,23,11,4,0,0,0.733,151 1/3,131,4,24,3,130,43,42,1.02
4,알칸타라,두산,2.54,31,20,2,0,0,0.909,198 2/3,174,12,30,9,182,58,56,1.03
5,루친스키,NC,3.05,30,19,5,0,0,0.792,183,173,14,57,11,167,67,62,1.26
6,켈리,LG,3.32,28,15,7,0,0,0.682,173 1/3,160,16,40,11,134,67,64,1.15
7,뷰캐넌,삼성,3.45,27,15,7,0,0,0.682,174 2/3,172,16,50,7,121,71,67,1.27
8,최채흥,삼성,3.58,26,11,6,0,0,0.647,146,131,12,51,7,123,67,58,1.25
9,문승원,SK,3.65,25,6,8,0,0,0.429,145 2/3,136,13,45,6,117,64,59,1.24
10,임찬규,LG,4.08,27,10,9,0,0,0.526,147 2/3,143,14,65,5,138,76,67,1.41
11,쿠에바스,KT,4.1,27,10,8,0,0,0.556,158,152,16,46,9,110,80,72,1.25
12,데스파이네,KT,4.33,35,15,8,0,0,0.652,207 2/3,233,18,68,8,152,105,100,1.45
13,가뇽,KIA,4.34,28,11,8,0,0,0.579,159 2/3,162,7,64,9,141,86,77,1.42
14,윌슨,LG,4.42,25,10,8,0,0,0.556,144 2/3,161,13,39,8,109,81,71,1.38
15,라이트,NC,4.68,29,11,9,0,0,0.55,157 2/3,164,12,63,10,125,87,82,1.44
16,양현종,KIA,4.7,31,11,10,0,0,0.524,172 1/3,180,13,64,5,149,99,90,1.42
17,박세웅,롯데,4.7,28,8,10,0,0,0.444,147 1/3,177,20,47,8,108,85,77,1.52
18,박종훈,SK,4.81,29,13,11,0,0,0.542,157 1/3,146,14,78,22,134,90,84,1.42
19,서폴드,한화,4.91,28,10,13,0,0,0.435,165,203,19,42,13,97,107,90,1.48
20,핀토,SK,6.17,30,6,15,0,0,0.286,162,198,19,90,11,112,121,111,1.78
