CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK
1,0,18,0,612,2305,0.214,13,3,1,0,0,2,0
1,1,18,0,659,2538,0.218,13,0,11,0,1,3,0
0,0,18,0,767,2958,0.227,27,4,8,5,0,6,0
0,0,11,0,569,2213,0.247,16,3,6,3,1,2,0
2,2,14,0,674,2656,0.24,26,1,6,4,1,3,1
1,0,21,0,733,2565,0.27,21,3,12,3,4,5,0
0,0,10,0,587,2225,0.26,5,2,10,5,0,9,0
2,1,16,0,684,2685,0.24,22,2,10,5,2,5,0
0,0,1,0,529,1954,0.232,20,3,3,4,0,2,0
1,0,19,0,712,2658,0.244,21,4,6,1,0,4,0
4,1,13,0,675,2488,0.27,22,0,10,7,4,5,0
2,1,14,0,663,2521,0.268,24,2,9,3,3,6,0
0,0,7,0,580,2241,0.256,24,3,5,7,0,3,0
1,0,13,0,767,2915,0.275,36,4,9,6,0,6,0
1,0,6,0,582,2240,0.284,18,1,12,5,1,0,0
0,0,12,0,664,2563,0.292,38,3,14,6,2,3,2
0,0,8,0,554,2023,0.294,19,3,14,5,0,3,0
