CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK
6,1,18,0,800,3020,0.221,28,1,24,3,3,6,0
1,0,15,0,625,2391,0.214,18,3,11,6,1,3,0
2,1,15,0,664,2399,0.247,27,1,16,3,6,3,0
0,0,10,0,594,2224,0.235,20,0,11,8,0,5,1
0,0,19,0,743,2914,0.223,25,0,17,2,0,3,0
0,0,18,0,703,2532,0.264,19,2,12,1,0,4,0
4,1,24,0,945,3485,0.24,25,3,25,7,1,8,0
0,0,11,0,647,2451,0.245,30,1,17,4,2,1,0
2,2,19,0,795,3060,0.245,23,5,24,8,2,2,0
2,0,19,0,753,2958,0.223,26,1,14,2,0,3,0
4,2,18,0,798,2911,0.263,19,2,12,1,0,5,0
0,0,12,0,640,2452,0.245,19,1,14,6,2,2,1
1,0,15,0,566,2010,0.253,26,1,12,5,0,2,0
0,0,5,1,584,2207,0.232,20,0,14,2,1,8,0
0,0,13,0,552,1953,0.26,23,0,15,1,0,1,0
1,0,13,0,627,2418,0.259,22,1,8,2,0,5,0
0,0,14,0,591,2247,0.244,20,2,19,3,2,2,0
0,0,12,0,624,2371,0.265,23,0,14,0,1,6,0
1,0,18,0,755,2952,0.233,33,1,17,3,1,2,1
0,0,10,0,547,1922,0.295,19,2,12,4,0,2,0
0,0,7,0,584,2109,0.285,26,2,15,5,0,3,2
0,0,6,0,594,2275,0.243,23,1,11,4,1,6,0
0,0,10,0,588,2263,0.262,29,1,15,4,1,1,1
0,0,6,0,563,2113,0.284,16,2,12,4,0,6,1
0,0,14,0,603,2099,0.286,30,2,14,3,0,1,0
0,0,10,0,595,2182,0.286,19,4,17,4,2,5,1
