CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK
5,3,23,0,756,2834,0.22,25,0,21,4,2,6,1
2,1,20,0,797,3129,0.221,22,1,14,1,1,13,0
0,0,15,0,647,2510,0.255,16,1,14,2,2,11,0
1,0,15,1,654,2512,0.247,17,3,15,6,0,5,0
0,0,13,1,572,2131,0.256,29,2,9,0,1,1,0
0,0,12,0,631,2441,0.244,24,2,10,3,1,3,0
0,0,18,0,752,2965,0.257,26,2,19,5,2,11,1
0,0,16,0,713,2741,0.241,26,1,13,4,0,11,1
1,0,16,0,662,2585,0.277,21,2,12,3,1,9,0
1,1,14,0,748,3072,0.272,29,1,17,6,0,3,0
1,0,14,0,709,2715,0.251,24,2,13,4,4,10,0
3,2,12,0,623,2384,0.283,19,1,7,2,2,3,1
1,0,12,0,713,2600,0.282,35,3,18,5,2,2,1
0,0,8,0,655,2608,0.279,24,2,9,8,0,8,1
1,1,6,0,644,2466,0.296,36,0,14,5,1,10,0
