순위,선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP
1,류현진,한화,1.82,25,16,4,0,0,0.8,192 2/3,149,11,45,9,187,42,39,1.01
2,김광현,SK,2.37,31,17,7,0,0,0.708,193 2/3,153,13,84,5,183,56,51,1.22
3,카도쿠라,SK,3.22,30,14,7,0,0,0.667,153 2/3,146,14,52,6,143,65,55,1.29
4,히메네스,두산,3.32,27,14,5,0,0,0.737,152,139,7,62,9,87,65,56,1.32
5,서재응,KIA,3.34,24,9,7,0,0,0.563,140,134,10,29,11,68,53,52,1.16
6,장원삼,삼성,3.46,29,13,5,0,0,0.722,151,139,13,44,5,115,62,58,1.21
7,봉중근,LG,3.58,28,10,9,0,0,0.526,178 1/3,166,13,69,14,130,74,71,1.32
8,사도스키,롯데,3.87,27,10,8,0,0,0.556,169 2/3,153,17,54,8,120,83,73,1.22
9,김선우,두산,4.02,28,13,6,0,0,0.684,154 2/3,163,12,50,8,128,77,69,1.38
10,양현종,KIA,4.25,30,16,8,0,0,0.667,169 1/3,169,9,98,6,145,84,80,1.58
11,송승준,롯데,4.39,27,14,6,0,0,0.7,168,156,20,60,9,113,90,82,1.29
12,장원준,롯데,4.43,26,12,6,0,0,0.667,144 1/3,158,24,48,8,113,77,71,1.43
13,로페즈,KIA,4.66,27,4,10,1,0,0.286,166,180,22,43,8,83,92,86,1.34
14,번사이드,넥센,5.34,29,10,10,0,0,0.5,140,150,16,82,18,98,91,83,1.66
15,유원상,한화,5.5,29,5,14,0,0,0.263,142 1/3,164,20,69,2,82,89,87,1.64
