CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK
3,3,18,0,679,2685,0.223,20,2,12,2,0,2,1
2,1,19,0,763,3118,0.225,26,1,18,3,0,10,0
2,1,18,0,732,2702,0.281,28,4,14,7,1,4,0
0,0,17,0,774,2999,0.283,33,1,13,0,2,3,0
0,0,11,0,584,2196,0.282,24,3,12,3,0,4,0
1,1,14,0,773,2897,0.25,37,2,19,5,2,7,3
0,0,12,0,650,2481,0.273,21,1,11,2,0,2,2
1,0,16,0,719,2806,0.248,32,5,16,4,0,8,1
0,0,13,0,587,2214,0.255,22,1,15,5,1,11,0
1,0,13,0,631,2228,0.264,21,2,15,1,2,3,0
0,0,18,0,730,2951,0.282,30,3,17,5,1,6,1
0,0,14,0,711,2680,0.25,22,5,18,2,1,4,1
3,2,11,0,670,2423,0.281,28,2,18,7,1,10,0
1,1,11,0,625,2511,0.261,23,4,3,1,1,4,0
0,0,14,0,768,3029,0.269,19,0,26,4,0,7,0
0,0,11,0,618,2244,0.313,27,1,8,7,0,2,1
