순위,선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP
1,리오스,두산,2.07,33,22,5,0,0,0.815,234 2/3,191,8,58,16,147,69,54,1.06
2,채병용,SK,2.84,28,11,8,0,0,0.579,146,137,8,47,5,84,51,46,1.26
3,정민철,한화,2.9,26,12,5,0,0,0.706,155 1/3,155,11,32,8,66,58,50,1.2
4,류현진,한화,2.94,30,17,7,0,0,0.708,211,195,15,68,3,178,74,69,1.25
5,랜들,두산,3.12,28,12,8,0,0,0.6,164 1/3,142,16,55,10,113,60,57,1.2
6,박명환,LG,3.19,27,10,6,0,0,0.625,155 1/3,133,11,72,4,117,59,55,1.32
7,레이번,SK,3.27,32,17,8,0,0,0.68,184 2/3,167,13,86,13,98,74,67,1.37
8,브라운,삼성,3.33,30,12,8,0,0,0.6,162 1/3,155,10,43,14,68,65,60,1.22
9,손민한,롯데,3.34,30,13,10,0,0,0.565,194,191,17,48,2,95,74,72,1.23
10,장원삼,현대,3.63,30,9,10,0,0,0.474,168 2/3,152,16,75,3,132,80,68,1.35
11,로마노,SK,3.69,32,12,4,0,0,0.75,146 1/3,158,9,67,5,81,72,60,1.54
12,윤석민,KIA,3.78,28,7,18,0,0,0.28,162,161,10,59,15,104,76,68,1.36
13,김수경,현대,3.88,30,12,7,0,0,0.632,176 1/3,170,19,61,2,127,85,76,1.31
14,스코비,KIA,3.92,22,8,10,0,0,0.444,126 1/3,123,11,62,5,58,57,55,1.46
15,전병호,삼성,4.06,32,8,8,0,2,0.5,137 1/3,148,11,41,4,39,71,62,1.38
16,세드릭,한화,4.15,28,11,13,0,0,0.458,158 1/3,143,7,104,10,140,81,73,1.56
17,정재복,LG,4.42,44,6,5,1,2,0.545,126 1/3,134,6,38,2,71,65,62,1.36
18,황두성,현대,4.45,46,7,9,1,3,0.438,139 2/3,121,13,51,1,142,76,69,1.23
19,장원준,롯데,4.67,32,8,12,0,0,0.4,156,171,14,69,9,103,87,81,1.54
20,전준호,현대,4.75,26,6,10,0,0,0.375,142,145,23,60,6,73,79,75,1.44
