순위,선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP
1,찰리,NC,2.48,29,11,7,0,0,0.611,189,175,6,60,14,116,60,52,1.24
2,이재학,NC,2.88,27,10,5,1,0,0.667,156,123,12,59,14,144,53,50,1.17
3,세든,SK,2.98,30,14,6,0,0,0.7,187 1/3,169,14,73,11,160,65,62,1.29
4,리즈,LG,3.06,32,10,13,0,0,0.435,202 2/3,153,11,88,20,188,78,69,1.19
5,윤성환,삼성,3.27,27,13,8,0,0,0.619,170 2/3,167,16,37,4,122,69,62,1.2
6,옥스프링,롯데,3.29,30,13,7,0,0,0.65,183 1/3,164,10,69,11,144,79,67,1.27
7,유희관,두산,3.53,41,10,7,1,3,0.588,145 1/3,141,7,52,7,96,60,57,1.33
8,유먼,롯데,3.54,31,13,4,0,0,0.765,193 1/3,186,19,78,5,141,81,76,1.37
9,에릭,NC,3.63,27,4,11,0,0,0.267,178 1/3,163,12,50,17,127,83,72,1.19
10,밴헤켄,넥센,3.73,29,12,10,0,0,0.545,161 2/3,178,11,58,10,137,78,67,1.46
11,송승준,롯데,3.76,29,12,6,0,0,0.667,167 2/3,171,11,64,4,133,74,70,1.4
12,노경은,두산,3.84,30,10,10,0,0,0.5,180 1/3,171,16,75,6,153,88,77,1.36
13,윤희상,SK,3.87,25,8,6,0,0,0.571,151 1/3,147,17,44,7,120,72,65,1.26
14,우규민,LG,3.91,30,10,8,0,2,0.556,147 1/3,162,5,31,12,92,67,64,1.31
15,밴덴헐크,삼성,3.95,24,7,9,0,0,0.438,143 2/3,127,11,48,11,137,67,63,1.22
16,바티스타,한화,4.2,29,7,7,0,0,0.5,143 2/3,141,9,70,13,150,77,67,1.47
17,강윤구,넥센,4.36,41,6,6,0,7,0.5,130,112,6,75,8,131,69,63,1.44
18,장원삼,삼성,4.38,27,13,10,1,0,0.565,154,165,21,42,9,104,85,75,1.34
19,나이트,넥센,4.43,30,12,10,0,0,0.545,172 2/3,192,10,79,14,129,96,85,1.57
20,김광현,SK,4.47,25,10,9,0,0,0.526,133,128,12,68,4,102,72,66,1.47
21,배영수,삼성,4.71,27,14,4,0,0,0.778,151,193,9,38,14,101,83,79,1.53
22,레이예스,SK,4.84,30,8,13,0,0,0.381,173,157,15,91,7,135,99,93,1.43
23,김혁민,한화,5.4,42,5,10,0,11,0.333,146 2/3,142,25,60,12,96,93,88,1.38
24,소사,KIA,5.47,29,9,9,0,1,0.5,164 2/3,196,11,68,9,143,111,100,1.6
25,이브랜드,한화,5.54,32,6,14,0,0,0.3,172 1/3,190,7,65,10,129,110,106,1.48
