순위,선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP
1,나이트,넥센,2.2,30,16,4,0,0,0.8,208 2/3,180,6,53,7,102,60,51,1.12
2,노경은,두산,2.53,42,12,6,0,7,0.667,146,106,6,69,8,133,46,41,1.2
3,유먼,롯데,2.55,29,13,7,0,1,0.65,179 2/3,156,10,56,1,142,58,51,1.18
4,서재응,KIA,2.59,29,9,8,0,0,0.529,160,143,7,51,7,97,51,46,1.21
5,류현진,한화,2.66,27,9,9,0,0,0.5,182 2/3,153,12,46,5,210,58,54,1.09
6,김진우,KIA,2.9,24,10,5,0,0,0.667,133 2/3,110,2,50,10,101,47,43,1.2
7,이용찬,두산,3.0,26,10,11,0,0,0.476,162,154,5,63,6,113,58,54,1.34
8,윤석민,KIA,3.12,28,9,8,0,0,0.529,153,120,9,33,8,137,60,53,1.0
9,니퍼트,두산,3.2,29,11,10,0,0,0.524,194,156,15,68,8,126,70,69,1.15
10,배영수,삼성,3.21,26,12,8,0,0,0.6,160,159,7,39,3,89,64,57,1.24
11,밴헤켄,넥센,3.28,28,11,8,0,0,0.579,170,166,16,60,3,132,68,62,1.33
12,송승준,롯데,3.31,28,7,11,0,0,0.389,163,158,12,57,8,117,73,60,1.32
13,윤희상,SK,3.36,28,10,9,0,0,0.526,163 1/3,164,10,49,6,100,66,61,1.3
14,주키치,LG,3.45,30,11,8,0,1,0.579,177 1/3,179,6,54,4,96,75,68,1.31
15,소사,KIA,3.54,23,9,8,0,0,0.529,147 1/3,137,9,39,8,104,62,58,1.19
16,장원삼,삼성,3.55,27,17,6,0,1,0.739,157,143,9,38,9,127,64,62,1.15
17,리즈,LG,3.69,32,5,12,5,0,0.294,151 1/3,138,6,68,9,144,68,62,1.36
18,앤서니,KIA,3.83,32,11,13,1,0,0.458,171 2/3,174,15,67,7,94,84,73,1.4
19,탈보트,삼성,3.97,25,14,3,0,0,0.824,138 1/3,136,8,54,5,68,63,61,1.37
20,김혁민,한화,4.06,32,8,9,0,1,0.471,146 1/3,137,9,45,9,102,69,66,1.24
21,사도스키,롯데,4.32,29,8,8,0,1,0.5,150,154,9,69,6,98,75,72,1.49
22,김선우,두산,4.52,28,6,9,0,0,0.4,163 1/3,182,13,41,8,63,91,82,1.37
