CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK
1,1,19,0,701,2737,0.243,19,3,7,6,0,8,0
0,0,19,0,727,2914,0.255,23,6,7,4,0,8,0
3,1,21,0,868,3334,0.268,34,3,13,12,0,7,0
0,0,20,0,846,3090,0.268,35,3,11,3,0,8,2
3,0,22,0,850,3207,0.255,31,2,16,5,0,6,2
1,1,17,0,742,3068,0.239,24,2,12,4,0,8,2
0,0,11,0,718,2655,0.286,35,6,7,8,0,2,1
1,1,14,0,701,2743,0.255,25,0,5,8,0,13,0
1,1,16,0,808,3052,0.286,36,4,8,7,1,5,2
1,0,16,0,767,2786,0.29,35,3,11,6,0,6,1
0,0,15,0,809,3052,0.294,39,3,12,11,0,5,0
0,0,16,0,803,3109,0.319,39,1,13,8,0,6,3
0,0,12,0,653,2489,0.277,20,0,7,5,1,4,0
1,0,16,0,671,2681,0.29,30,2,10,9,0,5,0
0,0,17,0,870,3166,0.319,47,8,11,4,2,6,0
0,0,11,0,705,2819,0.306,30,1,9,9,0,5,1
1,0,13,0,791,3106,0.283,36,6,6,4,0,7,0
