CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK
0,0,20,0,640,2417,0.237,26,3,2,0,0,3,1
0,0,21,0,777,3157,0.209,27,2,6,4,0,4,0
1,1,16,0,586,2218,0.238,18,0,5,3,0,3,1
1,0,27,0,795,3144,0.232,38,3,2,4,0,3,1
0,0,20,0,770,3001,0.25,12,3,10,1,0,11,0
1,1,20,0,705,2621,0.247,29,1,3,4,0,4,0
1,0,18,0,728,2819,0.261,19,2,8,4,0,2,0
1,1,12,0,617,2516,0.237,27,1,2,4,0,3,3
1,0,13,0,610,2338,0.248,29,0,5,5,0,2,0
0,0,10,0,641,2601,0.253,29,2,2,4,0,4,0
0,0,14,0,668,2518,0.253,26,1,5,8,0,4,0
0,0,18,0,906,3525,0.286,36,1,6,8,1,18,0
0,0,13,0,702,2809,0.264,33,8,6,10,0,13,0
0,0,14,0,628,2330,0.282,23,2,5,6,0,3,1
0,0,13,0,696,2789,0.266,27,2,5,1,0,5,2
0,0,15,0,746,2950,0.271,40,4,9,3,0,7,0
0,0,8,0,658,2528,0.298,27,2,3,7,0,13,0
0,0,10,0,691,2861,0.249,21,3,2,2,1,5,0
1,1,13,0,734,2742,0.304,30,3,5,6,0,10,0
0,0,12,0,766,2949,0.301,35,1,2,5,3,11,2
