CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK
0,0,21,0,681,2605,0.226,33,2,5,2,0,10,0
1,1,20,0,689,2632,0.247,23,3,6,3,1,10,1
1,1,18,0,760,2751,0.267,44,1,2,6,1,6,0
1,0,16,0,608,2237,0.274,24,1,5,7,2,6,0
0,0,17,0,621,2624,0.22,17,1,5,3,1,15,0
2,1,19,0,829,3089,0.249,28,3,5,1,0,4,0
0,0,13,0,674,2497,0.25,28,3,2,4,1,5,2
3,0,17,0,772,2883,0.278,33,0,9,3,1,5,0
0,0,10,0,702,2701,0.254,31,3,3,4,0,3,0
0,0,20,0,765,2965,0.296,33,4,6,5,2,9,0
1,0,16,0,707,2723,0.286,27,1,10,3,0,5,0
0,0,9,0,656,2509,0.296,33,2,5,2,0,4,0
1,0,18,0,753,2871,0.298,31,0,7,5,2,4,1
0,0,15,0,703,3047,0.234,26,1,1,3,0,18,2
0,0,15,0,775,3048,0.263,34,4,7,11,1,4,2
1,0,10,0,658,2740,0.266,27,2,4,4,2,6,0
0,0,12,0,756,2790,0.307,42,3,5,5,0,6,0
0,0,14,1,632,2467,0.277,21,3,4,0,1,12,0
0,0,15,0,758,3070,0.296,39,1,5,6,0,7,1
0,0,11,0,698,2682,0.289,31,2,5,9,0,10,1
0,0,15,0,752,2931,0.29,40,2,8,3,1,9,1
0,0,11,0,720,2695,0.335,30,1,9,4,1,10,0
0,0,9,0,680,2640,0.321,32,1,7,6,1,6,0
1,0,13,0,762,2956,0.269,36,4,4,10,2,10,0
0,0,5,0,681,2717,0.295,37,2,4,3,1,7,0
