순위,선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP
1,윤석민,KIA,2.45,27,17,5,1,0,0.773,172 1/3,137,10,44,6,178,53,47,1.05
2,니퍼트,두산,2.55,29,15,6,0,0,0.714,187,150,8,64,10,150,61,53,1.14
3,김선우,두산,3.13,28,16,7,1,0,0.696,175 2/3,188,12,35,6,89,68,61,1.27
4,장원준,롯데,3.14,29,15,6,0,0,0.714,180 2/3,195,7,62,9,129,72,63,1.42
5,윤성환,삼성,3.54,24,14,5,0,0,0.737,137 1/3,151,8,30,3,83,62,54,1.32
6,주키치,LG,3.6,32,10,8,1,0,0.556,187 2/3,174,9,53,1,150,86,75,1.21
7,차우찬,삼성,3.69,24,10,6,0,0,0.625,148 2/3,156,22,62,3,114,75,61,1.47
8,리즈,LG,3.88,30,11,13,0,0,0.458,164 2/3,149,11,84,15,122,79,71,1.41
9,사도스키,롯데,3.91,25,11,8,0,0,0.579,140 1/3,130,15,52,6,79,64,61,1.3
10,로페즈,KIA,3.98,26,11,9,1,0,0.55,153 2/3,153,14,26,9,106,71,68,1.16
11,송승준,롯데,4.18,30,13,10,0,0,0.565,172 1/3,181,17,59,7,126,84,80,1.39
12,박현준,LG,4.18,29,13,10,0,0,0.565,163 2/3,153,13,68,11,137,88,76,1.35
13,고원준,롯데,4.19,36,9,7,2,0,0.563,152 2/3,163,15,59,6,85,77,71,1.45
14,양훈,한화,4.28,27,6,10,0,0,0.375,143,145,15,60,5,110,75,68,1.43
15,나이트,넥센,4.7,30,7,15,0,0,0.318,172 1/3,169,12,98,12,115,98,90,1.55
16,안승민,한화,5.89,29,7,9,0,0,0.438,139,177,22,30,8,90,101,91,1.49
