CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK
0,0,15,0,651,2583,0.224,15,0,9,2,1,8,0
4,2,21,0,831,2986,0.256,20,2,18,4,3,6,0
4,2,17,0,792,3083,0.237,21,1,10,9,1,13,1
3,2,23,0,932,3506,0.254,27,1,11,2,1,3,0
0,0,7,0,619,2373,0.229,28,1,12,2,2,3,0
0,0,20,0,759,2936,0.245,24,1,11,1,0,1,1
1,0,16,0,729,2692,0.246,27,1,15,4,1,5,0
1,1,11,0,600,2407,0.253,33,1,8,8,1,7,0
1,0,12,0,625,2540,0.241,28,1,5,2,0,5,1
1,0,12,0,743,3091,0.256,25,1,15,2,2,2,0
0,0,15,0,668,2607,0.257,28,2,8,7,0,7,1
0,0,12,0,657,2596,0.291,36,0,11,5,3,1,0
1,1,12,0,672,2456,0.27,26,6,14,8,0,1,0
1,0,8,0,588,2132,0.281,23,0,10,3,0,2,1
0,0,13,0,719,2796,0.262,27,3,12,3,1,9,1
0,0,7,0,597,2453,0.255,20,1,16,4,2,3,1
2,0,12,0,688,2755,0.279,20,3,9,4,2,10,0
1,0,15,0,721,2757,0.293,35,3,10,3,0,9,0
1,0,10,0,620,2428,0.268,33,1,7,8,1,7,1
1,0,9,0,650,2429,0.282,34,4,10,3,1,9,0
