순위,선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP
1,김광현,SK,2.8,21,12,2,0,0,0.857,138 1/3,121,14,53,4,112,46,43,1.26
2,전병두,SK,3.11,49,8,4,8,1,0.667,133 1/3,114,13,48,2,136,50,46,1.22
3,로페즈,KIA,3.12,29,14,5,0,0,0.737,190 1/3,200,6,41,10,129,83,66,1.27
4,송은범,SK,3.13,31,12,3,0,0,0.8,149 1/3,155,17,49,5,103,59,52,1.37
5,양현종,KIA,3.15,29,12,5,0,1,0.706,148 2/3,133,14,58,2,139,55,52,1.28
6,구톰슨,KIA,3.24,26,13,4,0,0,0.765,161 1/3,149,15,46,8,95,61,58,1.21
7,봉중근,LG,3.29,26,11,12,0,0,0.478,172 1/3,160,13,57,14,127,70,63,1.26
8,류현진,한화,3.57,28,13,12,0,0,0.52,189 1/3,180,19,67,2,188,80,75,1.3
9,조정훈,롯데,4.05,27,14,9,0,0,0.609,182 1/3,189,23,53,7,175,97,82,1.33
10,장원준,롯데,4.15,28,13,8,0,0,0.619,162 2/3,175,16,82,6,108,83,75,1.58
11,이현승,히어로즈,4.18,30,13,10,0,0,0.565,170,161,25,66,5,120,84,79,1.34
12,윤성환,삼성,4.32,30,14,5,0,0,0.737,166 2/3,163,19,34,10,131,83,80,1.18
13,크루세타,삼성,4.36,30,9,10,0,0,0.474,157,134,11,109,6,127,90,76,1.55
14,송승준,롯데,4.72,29,13,8,0,0,0.619,167 2/3,175,25,68,8,104,92,88,1.45
15,김선우,두산,5.11,29,11,10,0,0,0.524,148,176,18,48,6,89,93,84,1.51
16,안영명,한화,5.18,26,11,8,0,0,0.579,140 2/3,148,34,45,7,87,88,81,1.37
