CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK
1,1,20,0,657,2469,0.251,19,4,7,2,0,4,0
1,1,18,0,760,3006,0.253,26,2,11,5,2,3,0
1,0,15,0,672,2424,0.259,19,2,14,2,1,6,2
0,0,16,0,732,2879,0.252,33,4,4,5,0,10,0
1,0,20,0,808,3085,0.278,32,2,7,3,0,14,0
1,0,23,0,854,3161,0.279,36,4,4,6,1,7,0
0,0,20,0,815,3024,0.272,38,3,5,4,2,9,1
0,0,17,0,725,2812,0.263,25,1,8,5,2,7,0
1,0,18,0,798,2951,0.274,39,2,5,5,0,3,1
2,1,16,0,769,2863,0.264,36,9,6,6,0,3,0
0,0,20,0,782,3161,0.257,35,5,11,2,0,13,0
0,0,7,0,664,2574,0.254,26,0,5,3,1,4,0
1,0,17,0,770,2929,0.304,39,3,15,5,1,3,0
1,0,15,0,731,2810,0.271,39,4,5,6,0,3,0
0,0,14,0,619,2249,0.289,21,4,4,1,0,8,0
0,0,12,0,637,2350,0.276,24,3,6,2,0,5,1
2,1,15,0,822,3010,0.304,37,3,13,7,1,5,1
1,0,12,0,743,2693,0.304,33,3,7,5,0,10,1
1,0,12,0,695,2701,0.294,32,2,9,5,1,5,1
